LINK_DIR,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
107030432T,38.553,48.461,19.26,5746,5.466,10.748,38.331,47.84,19.26,4967,6.79,10.648,40.127,50.325,723,2.414,11.187,37.981,41.627,47.84,18.639,4408,10.33,10.749,38.721,20.503,38.721,728,7.962,10.841,37.987,18.95,37.987,2145,11.729,10.694,36.978,18.639,36.978,1271,13.9,10.466,1.276,2.581,1.244,2.516,1.023,1.295,2.581,1.247,2.484,0.992,1.334,2.667,1.267,2.533,0.999,1.252,2.364,1.259,2.525,1.269,2.517,1.091,2.061,1.252,2.364,1.096,2.197,1.259,2.525,1.092,2.167,1.269,2.517
107030439T,35.148,44.734,17.396,7857,7.474,10.603,35.042,44.734,17.396,6701,9.16,10.587,35.565,45.355,1082,3.612,10.689,34.857,38.521,44.734,17.396,6168,14.454,10.656,33.945,16.775,33.945,977,10.685,10.981,35.178,18.639,35.178,3254,17.793,10.266,34.551,15.532,34.551,1511,16.524,10.937,1.309,2.667,1.327,2.704,1.037,1.272,2.4,1.272,2.4,0.887,1.291,2.88,1.291,2.88,1.231,1.336,2.704,1.272,2.4,1.295,2.88,1.107,2.241,1.336,2.704,1.095,2.067,1.272,2.4,1.115,2.48,1.295,2.88
107030440T,34.863,45.355,17.086,7325,6.968,11.205,34.961,45.355,17.396,6266,8.566,11.026,34.04,45.355,986,3.292,12.309,34.692,37.899,45.355,16.775,5827,13.655,11.033,34.521,16.775,34.521,841,9.197,11.572,34.832,17.396,34.832,3126,17.093,10.784,34.414,16.154,34.414,1491,16.306,11.017,1.293,2.769,1.329,2.846,1.142,1.293,2.572,1.293,2.572,0.989,1.302,2.88,1.302,2.88,1.212,1.332,2.741,1.284,2.572,1.3,2.769,1.134,2.333,1.332,2.741,1.088,2.179,1.284,2.572,1.083,2.308,1.3,2.769
107030444F,36.18,47.219,16.154,9311,8.857,12.247,35.891,47.219,15.532,7948,10.865,12.272,37.839,47.84,1266,4.227,11.982,35.526,40.074,46.908,14.911,7452,17.463,12.346,33.329,14.911,33.329,1299,14.206,12.69,36.99,16.775,36.99,3859,21.101,11.782,33.65,11.805,33.65,1808,19.773,12.838,1.325,3.0,1.398,3.167,1.265,1.209,2.618,1.285,2.782,1.165,1.307,3.6,1.343,3.7,1.754,1.398,3.125,1.293,2.852,1.348,3.842,1.109,2.479,1.398,3.125,1.125,2.481,1.293,2.852,1.145,3.263,1.348,3.842
107030445F,36.602,47.84,16.775,9256,8.805,12.006,36.193,47.84,16.775,7926,10.835,12.045,38.929,49.083,1248,4.167,11.462,35.837,40.384,47.219,16.154,7288,17.079,12.084,33.237,15.532,33.237,1333,14.578,12.343,37.058,17.396,37.058,3796,20.757,11.695,34.487,14.29,34.487,1738,19.007,12.412,1.331,2.88,1.387,3.0,1.163,1.2,2.483,1.284,2.655,1.069,1.272,3.0,1.343,3.167,1.358,1.383,2.96,1.291,2.75,1.351,3.261,1.084,2.32,1.383,2.96,1.123,2.393,1.291,2.75,1.135,2.739,1.351,3.261
107030447F,25.206,39.142,4.97,8823,8.393,13.822,24.731,38.521,4.349,7615,10.41,13.691,28.494,42.248,1130,3.773,14.165,23.83,27.337,37.278,4.349,6958,16.306,13.446,22.584,5.592,22.584,1373,15.015,13.014,26.719,7.456,26.719,3631,19.855,12.558,18.468,2.485,18.468,1587,17.356,13.751,1.935,8.0,1.559,6.444,3.134,1.669,6.0,1.46,5.25,2.595,2.278,18.002,1.772,14.001,6.901,1.568,6.333,1.442,5.166,1.817,13.501,1.114,4.5,1.568,6.333,1.139,4.083,1.442,5.166,1.144,8.501,1.817,13.501
107030448F,32.218,47.219,7.456,9083,8.641,14.946,31.926,47.219,7.456,7771,10.623,14.929,33.943,47.84,1229,4.103,15.006,31.36,36.035,46.598,7.456,7104,16.648,14.847,29.185,6.213,29.185,1287,14.075,15.041,33.767,8.388,33.767,3730,20.396,14.41,27.36,6.213,27.36,1665,18.209,14.493,1.502,7.2,1.523,7.3,3.793,1.332,5.538,1.406,5.846,3.157,1.579,6.546,1.557,6.455,3.147,1.533,7.2,1.398,5.629,1.567,6.9,1.107,5.2,1.533,7.2,1.178,4.74,1.398,5.629,1.135,5.0,1.567,6.9
107030449F,36.827,48.461,16.154,8846,8.415,12.287,36.279,48.461,15.532,7560,10.335,12.461,39.994,50.325,1205,4.023,10.611,35.801,40.695,47.84,14.911,6934,16.25,12.531,33.844,14.911,33.844,1247,13.637,12.412,37.051,16.775,37.051,3667,20.051,12.182,33.685,12.426,33.685,1623,17.749,13.017,1.3,3.0,1.372,3.167,1.308,1.198,2.667,1.298,2.889,1.226,1.293,3.429,1.37,3.633,1.653,1.377,3.125,1.308,2.889,1.402,3.8,1.101,2.5,1.377,3.125,1.14,2.519,1.308,2.889,1.125,3.05,1.402,3.8
107030455F,28.776,41.006,9.941,13325,12.676,12.925,28.846,41.006,9.941,11398,15.581,12.826,28.258,40.074,1784,5.956,13.506,28.805,32.929,41.006,9.32,9784,22.928,13.101,26.057,8.077,26.057,1902,20.801,13.02,31.05,11.805,31.05,4807,26.285,12.284,26.504,8.077,26.504,2328,25.459,14.225,1.689,5.538,1.502,4.923,2.278,1.47,4.0,1.368,3.722,1.72,1.668,5.538,1.552,5.154,2.32,1.502,4.846,1.341,3.526,1.571,5.154,1.168,3.769,1.502,4.846,1.121,2.947,1.341,3.526,1.137,3.731,1.571,5.154
107030458T,33.361,42.87,16.154,12447,11.841,10.819,33.234,42.87,16.154,10729,14.667,10.712,33.964,44.112,1594,5.322,11.469,32.867,36.035,42.497,16.154,9859,23.104,10.63,31.583,14.911,31.583,1708,18.679,10.997,33.862,18.639,33.862,5121,28.002,10.029,31.35,13.669,31.35,2420,26.465,11.052,1.402,3.0,1.343,2.875,1.14,1.324,2.483,1.269,2.379,0.875,1.414,3.273,1.316,3.045,1.314,1.338,2.833,1.266,2.3,1.328,3.045,1.102,2.333,1.338,2.833,1.083,1.967,1.266,2.3,1.1,2.523,1.328,3.045
